replicate,weight,pair_order,off_schedule_index,on_schedule_index,canonical_executed_calls,canonical_executed_calls_per_minute,raw_structured_calls,malformed_emissions,recovered_calls,core3_stages_advanced,quest_stages_advanced,xp_db_delta,unique_positions
1,base,off-first,0,1,-2,-0.075563,-2,0,0,0,0,-55,-2
1,r2,on-first,3,2,4,0.129603,4,0,0,0,0,-220,2
1,r3,off-first,4,5,13,0.427676,13,0,0,0,0,-600,1
2,base,on-first,9,8,-1,-0.037309,-1,0,0,0,0,-210,0
2,r2,off-first,10,11,0,-0.004755,0,0,0,0,0,55,0
2,r3,off-first,6,7,4,0.119263,4,0,0,-1,-1,152,2
3,base,off-first,16,17,-5,-0.163406,-5,0,0,-1,-1,1100,1
3,r2,on-first,13,12,0,-0.000254,0,0,0,0,0,195,1
3,r3,on-first,15,14,7,0.231773,7,0,0,0,0,550,4
