snapshot,contrast,finite_grid_states,effect_rate_difference,states_positive,states_negative,states_zero,state_effect_min,state_effect_max
base_2b,native_tools_main,20,0.3,9,0,11,0.0,1.0
base_2b,canonical_docs_main,20,0.0,3,3,14,-0.5,0.5
base_2b,interaction,20,0.2,5,2,13,-1.0,2.0
opd_r2_2b,native_tools_main,20,0.225,8,0,12,0.0,1.0
opd_r2_2b,canonical_docs_main,20,-0.075,3,5,12,-1.0,0.5
opd_r2_2b,interaction,20,-0.15,2,5,13,-1.0,1.0
opd_r3_2b,native_tools_main,20,0.15,5,1,14,-0.5,1.0
opd_r3_2b,canonical_docs_main,20,0.1,4,1,15,-0.5,1.0
opd_r3_2b,interaction,20,0.3,5,2,13,-1.0,2.0
